horizon,epoch,ssim
24,3,0.9535721023127718
24,4,0.9644298733405348
24,5,0.9702615108130113
24,6,0.9717175195801933
24,7,0.9744551766593501
24,8,0.9752795201427532
24,9,0.9782844309536916
24,10,0.9779028442670714
24,11,0.9794144630432129
24,12,0.9786738629611034
24,13,0.9811715000080612
24,14,0.9815096675225023
24,15,0.9801030069027307
24,16,0.9819704991466595
24,17,0.9825657628617197
24,18,0.9827431912692088
24,19,0.9832584093201835
24,20,0.9834423694970473
24,21,0.9837083006804844
24,22,0.9827696422360978
24,23,0.9824063732938947
24,24,0.9847867983692097
24,25,0.9842812880030218
24,26,0.9849166870117188
24,27,0.9853000011084214
24,28,0.984700823729893
24,29,0.9851886101488797
24,30,0.9856116456805535
24,31,0.984798530362687
24,32,0.9858624440319134
24,33,0.9849434528710708
24,34,0.98586864291497
24,35,0.9849093095311579
24,36,0.9857643325373812
24,37,0.9854298897509305
24,38,0.9858400956639704
24,39,0.986279622563776
24,40,0.9861562207060041
24,41,0.984080656519476
24,42,0.9859826789712006
24,43,0.9853088990697321
24,44,0.9857959657345178
24,45,0.9853795699353488
24,46,0.9867101975207059
24,47,0.9856371609669812
24,48,0.9858685439487673
24,49,0.9868198520732376
24,50,0.986559049138483
24,51,0.9861602963141676
24,52,0.9862398111595297
24,53,0.985408531045014
24,54,0.9864492416381836
24,55,0.9864761244575933
24,56,0.9862705536608426
24,57,0.9854740106834555
24,58,0.9864648063227816
24,59,0.9872669633829368
24,60,0.9866630806113189
